id,winner
1,Sunrisers Hyderabad
2,Rising Pune Supergiant
3,Kolkata Knight Riders
4,Kings XI Punjab
5,Royal Challengers Bangalore
6,Sunrisers Hyderabad
7,Mumbai Indians
8,Kings XI Punjab
9,Delhi Daredevils
10,Mumbai Indians
11,Kolkata Knight Riders
12,Mumbai Indians
13,Gujarat Lions
14,Kolkata Knight Riders
15,Delhi Daredevils
16,Mumbai Indians
17,Rising Pune Supergiant
18,Kolkata Knight Riders
19,Sunrisers Hyderabad
20,Royal Challengers Bangalore
21,Sunrisers Hyderabad
22,Mumbai Indians
23,Gujarat Lions
24,Mumbai Indians
25,Rising Pune Supergiant
26,Kings XI Punjab
27,Kolkata Knight Riders
28,Rising Pune Supergiant
29,Kolkata Knight Riders
30,Gujarat Lions
31,Kolkata Knight Riders
32,Sunrisers Hyderabad
33,Rising Pune Supergiant
34,Mumbai Indians
35,Kings XI Punjab
36,Sunrisers Hyderabad
37,Mumbai Indians
38,Rising Pune Supergiant
39,Delhi Daredevils
40,Rising Pune Supergiant
41,Delhi Daredevils
42,Kings XI Punjab
43,Rising Pune Supergiant
44,Mumbai Indians
45,Kolkata Knight Riders
46,Gujarat Lions
47,Sunrisers Hyderabad
48,Kings XI Punjab
49,Delhi Daredevils
50,Kings XI Punjab
51,Delhi Daredevils
52,Sunrisers Hyderabad
53,Mumbai Indians
54,Rising Pune Supergiant
55,Royal Challengers Bangalore
56,Rising Pune Supergiant
57,Kolkata Knight Riders
58,Mumbai Indians
59,Mumbai Indians
60,Kolkata Knight Riders
61,Chennai Super Kings
62,Delhi Daredevils
63,Royal Challengers Bangalore
64,Kolkata Knight Riders
65,Rajasthan Royals
66,Delhi Daredevils
67,Chennai Super Kings
68,Rajasthan Royals
69,Kings XI Punjab
70,Rajasthan Royals
71,Chennai Super Kings
72,Deccan Chargers
73,Kings XI Punjab
74,Chennai Super Kings
75,Mumbai Indians
76,Delhi Daredevils
77,Kings XI Punjab
78,Rajasthan Royals
79,Delhi Daredevils
80,Royal Challengers Bangalore
81,Kings XI Punjab
82,Mumbai Indians
83,Rajasthan Royals
84,Kings XI Punjab
85,Deccan Chargers
86,Mumbai Indians
87,Chennai Super Kings
88,Kolkata Knight Riders
89,Rajasthan Royals
90,Mumbai Indians
91,Chennai Super Kings
92,Kolkata Knight Riders
93,Rajasthan Royals
94,Kings XI Punjab
95,Kolkata Knight Riders
96,Mumbai Indians
97,Kings XI Punjab
98,Delhi Daredevils
99,Mumbai Indians
100,Kings XI Punjab
101,Rajasthan Royals
102,Mumbai Indians
103,Chennai Super Kings
104,Delhi Daredevils
105,Rajasthan Royals
106,Kings XI Punjab
